Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
2. Aakirkeby;2. Østerlars;A;Socialdemokratiet;Kasper Flygare;15
2. Aakirkeby;2. Østerlars;A;Socialdemokratiet;Christian Faurholdt Jeppesen;9
2. Aakirkeby;2. Østerlars;B;Radikale Venstre;Partiliste;24
2. Aakirkeby;2. Østerlars;B;Radikale Venstre;Simon Bech Munch-Petersen;8
2. Aakirkeby;2. Østerlars;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;3
2. Aakirkeby;2. Østerlars;C;Det Konservative Folkeparti;Partiliste;45
2. Aakirkeby;2. Østerlars;C;Det Konservative Folkeparti;Peter Svarre Fridolf;10
2. Aakirkeby;2. Østerlars;C;Det Konservative Folkeparti;Kristoffer Kromand;19
2. Aakirkeby;2. Østerlars;F;SF - Socialistisk Folkeparti;Partiliste;73
2. Aakirkeby;2. Østerlars;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;135
2. Aakirkeby;2. Østerlars;F;SF - Socialistisk Folkeparti;Sofie Christiansen;15
2. Aakirkeby;2. Østerlars;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;31
2. Aakirkeby;2. Østerlars;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;0
2. Aakirkeby;2. Østerlars;I;Liberal Alliance;Partiliste;80
2. Aakirkeby;2. Østerlars;I;Liberal Alliance;Eik Dahl Bidstrup;11
2. Aakirkeby;2. Østerlars;M;Moderaterne;Partiliste;60
2. Aakirkeby;2. Østerlars;M;Moderaterne;Kirstine van Sabben;41
2. Aakirkeby;2. Østerlars;M;Moderaterne;Lasse Oszadlik;1
2. Aakirkeby;2. Østerlars;O;Dansk Folkeparti;Partiliste;126
2. Aakirkeby;2. Østerlars;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;36
2. Aakirkeby;2. Østerlars;V;Venstre, Danmarks Liberale Parti;Partiliste;49
2. Aakirkeby;2. Østerlars;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;217
2. Aakirkeby;2. Østerlars;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;33
2. Aakirkeby;2. Østerlars;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;0
2. Aakirkeby;2. Østerlars;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;67
2. Aakirkeby;2. Østerlars;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;12
2. Aakirkeby;2. Østerlars;Ø;Enhedslisten - De Rød-Grønne;Partiliste;75
2. Aakirkeby;2. Østerlars;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;47
2. Aakirkeby;2. Østerlars;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;21
2. Aakirkeby;2. Østerlars;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;16
2. Aakirkeby;2. Østerlars;Å;Alternativet;Partiliste;42
2. Aakirkeby;2. Østerlars;Å;Alternativet;Kim Hjerrild;4
2. Aakirkeby;2. Østerlars;Å;Alternativet;Sofie Valbjørn;7
2. Aakirkeby;3. Svaneke;A;Socialdemokratiet;Partiliste;146
2. Aakirkeby;3. Svaneke;A;Socialdemokratiet;Lea Wermelin;158
2. Aakirkeby;3. Svaneke;A;Socialdemokratiet;Kasper Flygare;13
2. Aakirkeby;3. Svaneke;A;Socialdemokratiet;Christian Faurholdt Jeppesen;4
2. Aakirkeby;3. Svaneke;B;Radikale Venstre;Partiliste;31
2. Aakirkeby;3. Svaneke;B;Radikale Venstre;Simon Bech Munch-Petersen;3
2. Aakirkeby;3. Svaneke;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;5
2. Aakirkeby;3. Svaneke;C;Det Konservative Folkeparti;Partiliste;39
2. Aakirkeby;3. Svaneke;C;Det Konservative Folkeparti;Peter Svarre Fridolf;6
2. Aakirkeby;3. Svaneke;C;Det Konservative Folkeparti;Kristoffer Kromand;1
2. Aakirkeby;3. Svaneke;F;SF - Socialistisk Folkeparti;Partiliste;117
2. Aakirkeby;3. Svaneke;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;114
2. Aakirkeby;3. Svaneke;F;SF - Socialistisk Folkeparti;Sofie Christiansen;17
2. Aakirkeby;3. Svaneke;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;17
2. Aakirkeby;3. Svaneke;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;1
2. Aakirkeby;3. Svaneke;I;Liberal Alliance;Partiliste;39
2. Aakirkeby;3. Svaneke;I;Liberal Alliance;Eik Dahl Bidstrup;9
2. Aakirkeby;3. Svaneke;M;Moderaterne;Partiliste;55
2. Aakirkeby;3. Svaneke;M;Moderaterne;Kirstine van Sabben;39
2. Aakirkeby;3. Svaneke;M;Moderaterne;Lasse Oszadlik;0
2. Aakirkeby;3. Svaneke;O;Dansk Folkeparti;Partiliste;40
2. Aakirkeby;3. Svaneke;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;13
2. Aakirkeby;3. Svaneke;V;Venstre, Danmarks Liberale Parti;Partiliste;31
2. Aakirkeby;3. Svaneke;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;164
2. Aakirkeby;3. Svaneke;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;25
2. Aakirkeby;3. Svaneke;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;0
2. Aakirkeby;3. Svaneke;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;28
2. Aakirkeby;3. Svaneke;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;2
2. Aakirkeby;3. Svaneke;Ø;Enhedslisten - De Rød-Grønne;Partiliste;68
2. Aakirkeby;3. Svaneke;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;26
2. Aakirkeby;3. Svaneke;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;25
2. Aakirkeby;3. Svaneke;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;17
2. Aakirkeby;3. Svaneke;Å;Alternativet;Partiliste;48
2. Aakirkeby;3. Svaneke;Å;Alternativet;Kim Hjerrild;3
2. Aakirkeby;3. Svaneke;Å;Alternativet;Sofie Valbjørn;5
2. Aakirkeby;4. Nexø;A;Socialdemokratiet;Partiliste;367
2. Aakirkeby;4. Nexø;A;Socialdemokratiet;Lea Wermelin;445
2. Aakirkeby;4. Nexø;A;Socialdemokratiet;Kasper Flygare;26
2. Aakirkeby;4. Nexø;A;Socialdemokratiet;Christian Faurholdt Jeppesen;16
2. Aakirkeby;4. Nexø;B;Radikale Venstre;Partiliste;38
2. Aakirkeby;4. Nexø;B;Radikale Venstre;Simon Bech Munch-Petersen;6
2. Aakirkeby;4. Nexø;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;14
2. Aakirkeby;4. Nexø;C;Det Konservative Folkeparti;Partiliste;62
2. Aakirkeby;4. Nexø;C;Det Konservative Folkeparti;Peter Svarre Fridolf;9
2. Aakirkeby;4. Nexø;C;Det Konservative Folkeparti;Kristoffer Kromand;30
2. Aakirkeby;4. Nexø;F;SF - Socialistisk Folkeparti;Partiliste;174
2. Aakirkeby;4. Nexø;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;104
2. Aakirkeby;4. Nexø;F;SF - Socialistisk Folkeparti;Sofie Christiansen;22
2. Aakirkeby;4. Nexø;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;45
2. Aakirkeby;4. Nexø;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;4
2. Aakirkeby;4. Nexø;I;Liberal Alliance;Partiliste;122
2. Aakirkeby;4. Nexø;I;Liberal Alliance;Eik Dahl Bidstrup;15
2. Aakirkeby;4. Nexø;M;Moderaterne;Partiliste;110
2. Aakirkeby;4. Nexø;M;Moderaterne;Kirstine van Sabben;73
2. Aakirkeby;4. Nexø;M;Moderaterne;Lasse Oszadlik;2
2. Aakirkeby;4. Nexø;O;Dansk Folkeparti;Partiliste;202
2. Aakirkeby;4. Nexø;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;68
2. Aakirkeby;4. Nexø;V;Venstre, Danmarks Liberale Parti;Partiliste;65
2. Aakirkeby;4. Nexø;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;328
2. Aakirkeby;4. Nexø;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;49
2. Aakirkeby;4. Nexø;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;1
2. Aakirkeby;4. Nexø;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;95
2. Aakirkeby;4. Nexø;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;13
2. Aakirkeby;4. Nexø;Ø;Enhedslisten - De Rød-Grønne;Partiliste;74
2. Aakirkeby;4. Nexø;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;28
2. Aakirkeby;4. Nexø;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;16
2. Aakirkeby;4. Nexø;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;20
2. Aakirkeby;4. Nexø;Å;Alternativet;Partiliste;40
2. Aakirkeby;4. Nexø;Å;Alternativet;Kim Hjerrild;5
2. Aakirkeby;4. Nexø;Å;Alternativet;Sofie Valbjørn;9
2. Aakirkeby;5. Pedersker;A;Socialdemokratiet;Partiliste;109
2. Aakirkeby;5. Pedersker;A;Socialdemokratiet;Lea Wermelin;128
2. Aakirkeby;5. Pedersker;A;Socialdemokratiet;Kasper Flygare;9
2. Aakirkeby;5. Pedersker;A;Socialdemokratiet;Christian Faurholdt Jeppesen;6
2. Aakirkeby;5. Pedersker;B;Radikale Venstre;Partiliste;15
2. Aakirkeby;5. Pedersker;B;Radikale Venstre;Simon Bech Munch-Petersen;1
2. Aakirkeby;5. Pedersker;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;3
2. Aakirkeby;5. Pedersker;C;Det Konservative Folkeparti;Partiliste;26
2. Aakirkeby;5. Pedersker;C;Det Konservative Folkeparti;Peter Svarre Fridolf;3
2. Aakirkeby;5. Pedersker;C;Det Konservative Folkeparti;Kristoffer Kromand;7
2. Aakirkeby;5. Pedersker;F;SF - Socialistisk Folkeparti;Partiliste;49
2. Aakirkeby;5. Pedersker;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;26
2. Aakirkeby;5. Pedersker;F;SF - Socialistisk Folkeparti;Sofie Christiansen;8
2. Aakirkeby;5. Pedersker;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;16
2. Aakirkeby;5. Pedersker;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;1
2. Aakirkeby;5. Pedersker;I;Liberal Alliance;Partiliste;53
2. Aakirkeby;5. Pedersker;I;Liberal Alliance;Eik Dahl Bidstrup;4
2. Aakirkeby;5. Pedersker;M;Moderaterne;Partiliste;32
2. Aakirkeby;5. Pedersker;M;Moderaterne;Kirstine van Sabben;27
2. Aakirkeby;5. Pedersker;M;Moderaterne;Lasse Oszadlik;0
2. Aakirkeby;5. Pedersker;O;Dansk Folkeparti;Partiliste;111
2. Aakirkeby;5. Pedersker;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;31
2. Aakirkeby;5. Pedersker;V;Venstre, Danmarks Liberale Parti;Partiliste;43
2. Aakirkeby;5. Pedersker;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;146
2. Aakirkeby;5. Pedersker;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;24
2. Aakirkeby;5. Pedersker;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;2
2. Aakirkeby;5. Pedersker;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;63
2. Aakirkeby;5. Pedersker;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;9
2. Aakirkeby;5. Pedersker;Ø;Enhedslisten - De Rød-Grønne;Partiliste;36
2. Aakirkeby;5. Pedersker;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;5
2. Aakirkeby;5. Pedersker;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;8
2. Aakirkeby;5. Pedersker;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;5
2. Aakirkeby;5. Pedersker;Å;Alternativet;Partiliste;11
2. Aakirkeby;5. Pedersker;Å;Alternativet;Kim Hjerrild;1
2. Aakirkeby;5. Pedersker;Å;Alternativet;Sofie Valbjørn;6
2. Aakirkeby;6. Aakirkeby;A;Socialdemokratiet;Partiliste;369
2. Aakirkeby;6. Aakirkeby;A;Socialdemokratiet;Lea Wermelin;434
2. Aakirkeby;6. Aakirkeby;A;Socialdemokratiet;Kasper Flygare;27
2. Aakirkeby;6. Aakirkeby;A;Socialdemokratiet;Christian Faurholdt Jeppesen;19
2. Aakirkeby;6. Aakirkeby;B;Radikale Venstre;Partiliste;28
2. Aakirkeby;6. Aakirkeby;B;Radikale Venstre;Simon Bech Munch-Petersen;4
2. Aakirkeby;6. Aakirkeby;B;Radikale Venstre;Laila Stougaard Kofoed Espersen;10
2. Aakirkeby;6. Aakirkeby;C;Det Konservative Folkeparti;Partiliste;63
2. Aakirkeby;6. Aakirkeby;C;Det Konservative Folkeparti;Peter Svarre Fridolf;22
2. Aakirkeby;6. Aakirkeby;C;Det Konservative Folkeparti;Kristoffer Kromand;36
2. Aakirkeby;6. Aakirkeby;F;SF - Socialistisk Folkeparti;Partiliste;128
2. Aakirkeby;6. Aakirkeby;F;SF - Socialistisk Folkeparti;Sebastian Bloch Jensen;101
2. Aakirkeby;6. Aakirkeby;F;SF - Socialistisk Folkeparti;Sofie Christiansen;32
2. Aakirkeby;6. Aakirkeby;H;Borgernes Parti - Lars Boje Mathiesen;Partiliste;58
2. Aakirkeby;6. Aakirkeby;H;Borgernes Parti - Lars Boje Mathiesen;Charlotte Friberg Henriksen;4
2. Aakirkeby;6. Aakirkeby;I;Liberal Alliance;Partiliste;160
2. Aakirkeby;6. Aakirkeby;I;Liberal Alliance;Eik Dahl Bidstrup;32
2. Aakirkeby;6. Aakirkeby;M;Moderaterne;Partiliste;77
2. Aakirkeby;6. Aakirkeby;M;Moderaterne;Kirstine van Sabben;85
2. Aakirkeby;6. Aakirkeby;M;Moderaterne;Lasse Oszadlik;1
2. Aakirkeby;6. Aakirkeby;O;Dansk Folkeparti;Partiliste;301
2. Aakirkeby;6. Aakirkeby;O;Dansk Folkeparti;Bo Vibe Ancher Jensen;85
2. Aakirkeby;6. Aakirkeby;V;Venstre, Danmarks Liberale Parti;Partiliste;79
2. Aakirkeby;6. Aakirkeby;V;Venstre, Danmarks Liberale Parti;Peter Juel-Jensen;501
2. Aakirkeby;6. Aakirkeby;V;Venstre, Danmarks Liberale Parti;Niklas Stenbye;85
2. Aakirkeby;6. Aakirkeby;V;Venstre, Danmarks Liberale Parti;Birthe Tindbæk Bredo;4
2. Aakirkeby;6. Aakirkeby;Æ;Danmarksdemokraterne - Inger Støjberg;Partiliste;141
2. Aakirkeby;6. Aakirkeby;Æ;Danmarksdemokraterne - Inger Støjberg;Michael Hendriksen;48
2. Aakirkeby;6. Aakirkeby;Ø;Enhedslisten - De Rød-Grønne;Partiliste;71
2. Aakirkeby;6. Aakirkeby;Ø;Enhedslisten - De Rød-Grønne;Morten Riis;27
2. Aakirkeby;6. Aakirkeby;Ø;Enhedslisten - De Rød-Grønne;Helle Munk Ravnborg;30
2. Aakirkeby;6. Aakirkeby;Ø;Enhedslisten - De Rød-Grønne;Asta Kofod;14
2. Aakirkeby;6. Aakirkeby;Å;Alternativet;Partiliste;37
2. Aakirkeby;6. Aakirkeby;Å;Alternativet;Kim Hjerrild;6
2. Aakirkeby;6. Aakirkeby;Å;Alternativet;Sofie Valbjørn;3
